title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,flag,genero pai,decade
"thank u, next",Ariana Grande,dance pop,2019,107,65,72,-6,10,41,207,23,7,82,True,pop,10s
no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,79,True,pop,10s
i'm so tired...,Lauv,dance pop,2020,102,73,60,-7,24,53,163,18,20,78,True,pop,10s
bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,86,True,pop,10s
Your Song,Elton John,glam rock,1970,128,32,55,-11,10,33,242,83,3,78,True,rock,70s
Your Smiling Face,James Taylor,adult standards,2013,89,51,68,-12,9,61,165,15,8,48,True,adult standards,10s
Youngblood,5 Seconds of Summer,boy band,2018,120,85,60,-5,12,15,203,2,46,81,False,boy band,10s
You've Lost That Lovin' Feelin',The Righteous Brothers,adult standards,1990,94,32,37,-14,9,40,225,54,3,57,True,adult standards,90s
You're the Voice,John Farnham,australian pop,2008,85,76,37,-9,58,64,302,22,5,62,True,pop,00s
You're so Vain,Carly Simon,adult standards,1972,106,68,66,-8,8,65,258,16,3,74,True,adult standards,70s
"You're The First, The Last, My Everything - Edit",Barry White,adult standards,1994,130,59,63,-12,5,93,209,0,3,56,True,adult standards,90s
You're Still The One,Shania Twain,canadian country,1997,134,49,59,-9,9,63,212,36,4,75,True,country,90s
You're Beautiful,James Blunt,neo mellow,2005,82,48,68,-10,9,45,209,63,3,77,True,rock,00s
"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Phil Collins,mellow gold,2021,97,75,57,-7,9,61,258,6,3,71,True,rock,10s
You To Me Are Everything,The Real Thing,brit funk,1999,102,91,64,-8,8,82,210,23,10,60,True,funk,90s
You Sexy Thing,Hot Chocolate,classic uk pop,1975,106,73,79,-5,17,96,245,52,6,72,True,pop,70s
You Send Me - Mono,Sam Cooke,adult standards,1958,96,37,57,-8,13,41,166,88,3,56,True,adult standards,50s
You Need To Calm Down,Taylor Swift,pop,2019,85,67,77,-6,6,71,171,1,6,78,True,pop,10s
You Make My Dreams (Come True),Daryl Hall & John Oates,album rock,1980,167,50,75,-12,5,90,191,23,6,77,True,rock,80s
You Make Me Feel So Young - Remastered 1998,Frank Sinatra,adult standards,1956,125,31,58,-12,18,57,177,38,4,66,True,adult standards,50s
You Make Me Feel Like Dancing,Leo Sayer,adult standards,1976,96,73,73,-5,11,71,221,8,5,59,True,adult standards,70s
You Gotta Be,Des'ree,europop,1994,94,67,62,-10,11,49,245,21,4,66,True,pop,90s
You Got It,Roy Orbison,adult standards,1989,115,62,65,-11,19,67,210,60,3,68,True,adult standards,80s
You Get What You Give,New Radicals,pop rock,1998,114,90,62,-5,9,74,301,17,3,74,True,rock,90s
You Don't Have To Say You Love Me,Dusty Springfield,adult standards,2006,112,66,24,-5,8,57,168,66,4,49,True,adult standards,00s
You Can't Hurry Love - 2016 Remaster,Phil Collins,mellow gold,1982,98,94,62,-5,7,76,176,3,3,76,True,rock,80s
You Can't Hurry Love,The Supremes,brill building pop,1966,97,71,63,-9,8,66,168,30,5,74,True,pop,60s
You Can Get It If You Really Want,Jimmy Cliff,dub,1972,128,57,90,-9,8,93,159,21,5,64,True,dance,70s
You Can Call Me Al,Paul Simon,classic rock,1986,128,76,78,-8,8,82,280,18,5,75,True,rock,80s
You Belong To Me,Jo Stafford,adult standards,2001,69,14,37,-15,11,17,193,95,3,56,True,adult standards,00s
You Are The Sunshine Of My Life,Stevie Wonder,funk,1972,132,46,52,-15,24,68,178,82,7,70,True,funk,70s
